email,first_name,last_name,company_name,estado,arquetipo,angulo,bajio,idioma_copy
elizabeth02.hernandez@continental.com,Elizabeth,Hernandez C,Continental,San Luis Potosi,Automotriz interiores,abasto local vs importar,Sí,ES
diana.ledesma@forvia.com,Diana,Ledesma,Hella (Forvia),Guanajuato,Automotriz interiores,abasto local vs importar,Sí,ES
arturo.martinez@phillipsmedisize.com,Arturo,Martinez,Omni Mfg (Phillips-Medisize),Queretaro,Medico,abasto local vs importar,Sí,ES
mcastillo@rehrig.com,Marco,Castillo,Rehrig Pacific,Queretaro,Cosmetica/Empaque,abasto local vs importar,Sí,ES
ckuan@hcp-mx.com,C.,Kuan,HCP Packaging Mexico,Tamaulipas,Cosmetica/Empaque,segunda fuente / muestras,,ES
emilia_gomez@dehamex.com,Emilia,Gomez,Dongbu Daewoo / WINIA,Queretaro,Linea blanca,abasto local vs importar,Sí,ES
marcela.chavez@uyeda.com.mx,Marcela,Chavez Diaz,Uyeda Industrial,Jalisco,Graficos/Etiquetas,abasto local vs importar,Sí,ES
martha.barron@marelli.com,Martha,Barron Licon,Magneti Marelli,Aguascalientes,Automotriz interiores,abasto local vs importar,Sí,ES
lucy.lopez@multipkg.com,Lucy,Lopez,AGI Shorewood,Aguascalientes,Cosmetica/Empaque,abasto local vs importar,Sí,ES
dulce.castromagallanes@mcclabel.com,Dulce,Castro Magallanes,MCC Label,Jalisco,Cosmetica/Empaque,abasto local vs importar,Sí,ES
david.flores@kh-mexico.mx,David,Flores Ferrusca,KH Mexico,Queretaro,Plasticos general,abasto local vs importar,Sí,ES
brenda.almanza@mabe.com.mx,Brenda,Almanza,Mabe,Queretaro,Plasticos general,abasto local vs importar,Sí,ES
tduque@gualaclosures.com,Tatiana,Duque,Guala Closures,Queretaro,Plasticos general,abasto local vs importar,Sí,ES
ricardo.rea@orbiscorporation.com,Ricardo,Rea,Orbis Plastic Molding,Guanajuato,Plasticos general,abasto local vs importar,Sí,ES
moriroku_ap@mtdm.mx,(Buzon,AP/Compras),Moriroku Technology,Guanajuato,Automotriz interiores,abasto local vs importar,Sí,ES
amoya@summitpolymers.com,A.,Moya,Summit Plastics Silao,Guanajuato,Automotriz interiores,abasto local vs importar,Sí,ES
morales.v@pg.com,Veronica,Morales,P&G,Guanajuato,Plasticos general,abasto local vs importar,Sí,ES
logistica@coplainsa.com,(Buzon,Logistica),Coplainsa,Guanajuato,Graficos/Etiquetas,abasto local vs importar,Sí,ES
aurora.becerra@natturalabs.com,Aurora,Becerra,Nattura Laboratorios,Jalisco,Cosmetica/Empaque,abasto local vs importar,Sí,ES
karina.castillo@forvia.com,Karina,Castillo Contreras,Faurecia,Puebla,Automotriz interiores,segunda fuente / muestras,,ES
ricardo_soto@whirlpool.com,Ricardo,Soto,Whirlpool,Coahuila,Plasticos general,segunda fuente / muestras,,ES
materialesfar@ggibsa.com,(Buzon,Materiales),Moldeo de Plasticos FAR,Estado de Mexico,Cosmetica/Empaque,segunda fuente / muestras,,ES
cvega@groupetexen.mx,C.,Vega,CEICA Plasticos (Texen),Estado de Mexico,Cosmetica/Empaque,segunda fuente / muestras,,ES
oscar.torres@schwancosmetics.com,Oscar,Torres,Schwan Cosmetics (Cosmetic Colors),Estado de Mexico,Cosmetica/Empaque,segunda fuente / muestras,,ES
ivet.campos@etimex.com,Ivet,Campos Gutierrez,Grupo Etimex,Nuevo Leon,Graficos/Etiquetas,segunda fuente / muestras,,ES
ramon.caviedez@mann-hummel.com,C.P.,Ramón Caviedez,Mann-Hummel,Queretaro,Plasticos general,abasto local vs importar,Sí,ES
julio.pedraza@efemsa.com,Lic.,Julio César Pedraza Flores,PTM,Queretaro,Plasticos general,abasto local vs importar,Sí,ES
sandra.evangelista@bicworld.com,Sandra,Evangelista,Industrial de Cuautitlan (BIC),Estado de Mexico,Plasticos general,segunda fuente / muestras,,ES
fatima.vivas@pelikan.com.mx,Fatima,Vivas,Pelikan Mexico,Puebla,Plasticos general,segunda fuente / muestras,,ES
miriam.caballero@bocar.com,Miriam,Caballero Vargas,Plastic Tec (Bocar),CDMX,Automotriz interiores,segunda fuente / muestras,,ES
cesar_blas@baxter.com,Ing.,César H. Blas,Baxter,CDMX,Medico,segunda fuente / muestras,,ES
jorgeparra@cfsbrands.com,Jorge,Parra,CFS Brands,Chihuahua,Plasticos general,segunda fuente / muestras,,ES
rsegura@pack.com.mx,(Buzon),,Pack,Guanajuato,Cosmetica/Empaque,abasto local vs importar,Sí,ES
procasa@prodigy.net.mx,(Buzon),,Procasa,Guanajuato,Cosmetica/Empaque,abasto local vs importar,Sí,ES
respinel@gurpa.com.mx,(Buzon),,Gurpa,Guanajuato,Plasticos general,abasto local vs importar,Sí,ES
facturacion.cxp@packagingstore.com.mx,(Buzon),,"Packaging Store De Mexico, S.A. De C.V.",Guanajuato,Plasticos general,abasto local vs importar,Sí,ES
msegoviano@dcp.com.mx,(Buzon),,Dc Gaskets,Guanajuato,Plasticos general,abasto local vs importar,Sí,ES
cristina@procesadorasantafe.com.mx,(Buzon),,Procesadora Santa Fe,Guanajuato,Cosmetica/Empaque,abasto local vs importar,Sí,ES
osvaldo.garcia@emigliore.com,(Buzon),,Impatek,Guanajuato,Graficos/Etiquetas,abasto local vs importar,Sí,ES
contabilidad@remacecolors.com.mx,(Buzon),,Remace Colors,Guanajuato,Graficos/Etiquetas,abasto local vs importar,Sí,ES
administracion@plasticogonfer.com.mx,(Buzon),,Alta Calidad En Bolsas De Polietileno Sa De Cv,Guanajuato,Plasticos general,abasto local vs importar,Sí,ES
credito@artetextil.com.mx,(Buzon),,Promotora Artex,Guanajuato,Plasticos general,abasto local vs importar,Sí,ES
contabilidad@astilleria.mx,(Buzon),,Maderería Industrial Del Bajío Sa De Cv,Guanajuato,Plasticos general,abasto local vs importar,Sí,ES
pagos@garfloempaques.com,(Buzon),,Garflo Empaques,Guanajuato,Plasticos general,abasto local vs importar,Sí,ES
francisco@miltisignos.com,(Buzon),,Multisignos,Guanajuato,Plasticos general,abasto local vs importar,Sí,ES
micromar_@hotmail.com,(Buzon),,Micromar,Guanajuato,Cosmetica/Empaque,abasto local vs importar,Sí,ES
vperez@reyma.com.mx,(Buzon),,Plasticos Adheribles Del Bajio S.A. De C.V.,Guanajuato,Plasticos general,abasto local vs importar,Sí,ES
gastos@esecsa.com,(Buzon),,Esecsa,Guanajuato,Cosmetica/Empaque,abasto local vs importar,Sí,ES
ivivanco@sigma-alimentos.com,(Buzon),,Sigma Alimentos,Guanajuato,Cosmetica/Empaque,abasto local vs importar,Sí,ES
tania.aguirre@meggico.com,Tania,Aguirre,Graficas Corona,Estado de Mexico,Graficos/Etiquetas,segunda fuente / muestras,,ES
enrique.guzman@edelmann-group.com,Enrique,Guzman,Edelmann Group,Estado de Mexico,Cosmetica/Empaque,segunda fuente / muestras,,ES
administracion@canadio.com.mx,(Buzon,Administracion),CI Boletos,CDMX,Graficos/Etiquetas,segunda fuente / muestras,,ES
compras@krds.mx,(Buzon,Compras),Cards & Systems,Morelos,Graficos/Etiquetas,segunda fuente / muestras,,ES
ggarcia@etytec.com,G.,Garcia,Gemetytec,Jalisco,Plasticos general,abasto local vs importar,Sí,ES
victor.mendez@mx.flextronics.com,Victor,Mendez,Flextronics,Jalisco,Plasticos general,abasto local vs importar,Sí,ES
aux.compras@clinic.com.mx,(Aux,Compras),Megatropa (Clinic),Queretaro,Plasticos general,abasto local vs importar,Sí,ES
ejaramillo@viamoda.com.mx,E.,Jaramillo,Via Moda Internacional,Jalisco,Plasticos general,abasto local vs importar,Sí,ES
nbarajas@similcuero.com.mx,(Buzon),,Simil Cuero Plymouth,Guanajuato,Plasticos general,abasto local vs importar,Sí,ES
recursoshumanos@suelasaplasa.com,(Buzon),,Suelas Aplasa,Guanajuato,Plasticos general,abasto local vs importar,Sí,ES
sandra.herrera@evaplus.com.mx,(Buzon),,Eva Plus Industrial,Guanajuato,Plasticos general,abasto local vs importar,Sí,ES
a.zendejas@krahmexico.com,(Buzon),,Krah Mexico,Guanajuato,Plasticos general,abasto local vs importar,Sí,ES
compras@gruporali.com,(Buzon),,Imbolsa,Guanajuato,Plasticos general,abasto local vs importar,Sí,ES
veronica.solano@gualadispensing.com,(Buzon),,Guala Dispensing Mexico S.A. De C.V.,Guanajuato,Plasticos general,abasto local vs importar,Sí,ES
sandra.rangel@fraenkische-mx.com,(Buzon),,Fraenkische Industrial Pipes,Guanajuato,Plasticos general,abasto local vs importar,Sí,ES
